,question,answer
10,"คําถาม: ข้อใดคือหน่วยงานที่มีอำนาจฟ้องคดีละเมิดสิทธิผู้บริโภคตามพระราชบัญญัติคุ้มครองผู้บริโภค พ.ศ.2522

ตัวเลือก:
1. สำนักงานคณะกรรมการคุ้มครองผู้บริโภค
2. สำนักกฎหมายและคดี
3. คณะกรรมการคุ้มครองผู้บริโภค
4. คณะกรรมการว่าด้วยสัญญา",3. คณะกรรมการคุ้มครองผู้บริโภค
11,"คําถาม: ในกรณีที่เอกสารที่จะส่งไปตรวจพิสูจน์ลายมือชื่อ ที่สถาบันนิติวิทยาศาสตร์ กระทรวงยุติธรรม หรือที่กองพิสูจน์หลักฐาน สำนักงานนิติวิทยศาสตร์ตำรวจ ปรากฎว่าเป็นสำเนาภาพถ่ายและไม่สามารถหาเอกสารต้นฉบับที่แท้จริงได้เนื่องจากสูญหายไป ท่านจะต้องแจ้งผู้เชี่ยวชาญอย่างไรบ้าง

ตัวเลือก:
1. แจ้งว่าไม่สามารถจัดหาเอกสารต้นฉบับที่แท้จริงได้ ขอให้ผู้เชี่ยวชาญตรวจเฉพาะเอกสารที่เป็นสำเนาภาพถ่ายเท่านั้น หากไม่แจ้งผู้เชี่ยวชาญทราบ ผู้เชี่ยวชาญก็จะต้องทำหนังสือถึงศาลหรือพนักงานสอบสวน เพื่อขอให้คู่ความจัดส่งเอกสารต้นฉบับตัวจริงทำให้เสียเวลา
2. ไม่จำเป็นที่จะต้องแจ้งให้ผู้เชี่ยวชาญทราบ เพราะหากผู้เชี่ยวชาญต้องการเอกสารต้นฉบับแท้จริง ผู้เชี่ยวชาญจะทำหนังสือถึงศาลหรือพนักงานสอบสวน เพื่อขอให้ตัวความเอกสารไปให้ทำการตรวจพิสูจน์ลายมือชื่อจัดหาเอกสารอีกทีหนึ่ง
3. ไม่ต้องสนใจว่า ผู้ที่จะส่งเอกสารไปให้ทำการตรวจพิสูจน์นั้น จะต้องแจ้งปัญหาข้อขัดแย้งให้ทราบ จะแจ้งหรือไม่แจ้งก็ได้ไม่สนใจ
4. ไม่มีข้อถูก",1. แจ้งว่าไม่สามารถจัดหาเอกสารต้นฉบับที่แท้จริงได้ ขอให้ผู้เชี่ยวชาญตรวจเฉพาะเอกสารที่เป็นสำเนาภาพถ่ายเท่านั้น หากไม่แจ้งผู้เชี่ยวชาญทราบ ผู้เชี่ยวชาญก็จะต้องทำหนังสือถึงศาลหรือพนักงานสอบสวน เพื่อขอให้คู่ความจัดส่งเอกสารต้นฉบับตัวจริงทำให้เสียเวลา
12,"คําถาม: ทรัพย์สินที่เกี่ยวกับการกระทำความผิดตามความหมายของพระราชบัญญัติป้องกันและปราบปรามการฟอกเงิน พ.ศ. 2542 (กฎหมาย ปปง.) ได้แก่

ตัวเลือก:
1. ทรัพย์สินที่ได้มาจากการกระทำความผิดมูลฐานหรือฐานฟอกเงิน
2. ทรัพย์สินที่ได้มาจากการกระทำความผิดอาญาทุกประเภท
3. ทรัพย์สินที่ได้มาจากการจำหน่ายจ่ายโอนทรัพย์สินตามข้อ 2
4. ดอกผลของทรัพย์สินตามข้อ 2 และ 3",1. ทรัพย์สินที่ได้มาจากการกระทำความผิดมูลฐานหรือฐานฟอกเงิน
13,"คําถาม: ข้อใดไม่ถือว่าบริษัทจำกัดเลิกกันหรือไม่อาจเป็นเหตุให้ศาลให้เลิกบริษัทจำกัดได้

ตัวเลือก:
1. บริษัท ซีวาย จัดกัด ได้จัดตั้งขี้นโดยมีกำหนดเวลาให้เลิกกันในวันที่ 4 มีนาคม 2555 และครบกำหนดเวลาดังกล่าวแล้ว
2. ที่ประชุมคณะกรรมการของบริษัท ดับบลิวเอ็กซ์ จำกัด มีมติให้เลิกบริษัท
3. ศาลมีคำสั่งให้บริษัท วียู จำกัด ล้มละลาย
4. จำนวนผู้ถือหุ้นของบริษัท ทีเอส จำกัด ลดจำนวนลงเหลือน้องกว่า 3 คน",2. ที่ประชุมคณะกรรมการของบริษัท ดับบลิวเอ็กซ์ จำกัด มีมติให้เลิกบริษัท
14,"คําถาม: นายแดงมอบให้ทนายโจทก์ฟ้องดำเนินคดีแห่ง โดยทนายโจทก์ได้เรียงคำฟ้อง ลงชื่อ และทำตามกระบวนพิจารณาแทนนายแดงจนเสร็จกระบวนพิจารณาการสอบพยานโจทก์เสร็จสิ้น แต่ไม่ปรากฏในทนายของทนายโจทก์ในสำนวน ในวันนัดสืบพยานจำเลยทนายโจทก์เพิ่มยื่นใบแต่งทนายให้ศาลยื่นสำนวน ศาลมีคำสั่งอนุญาตโดยที่ทนายจำเลยไม่คัดค้านจนศาลมีคำพิพากษา ศาลอนุญาตให้ทนายโจทก์ยื่นใบแต่งทนายชั้นสืบพยานจำเลยถูกต้องหรือไม่ เพราะเหตุใด

ตัวเลือก:
1. ไม่ถูกต้อง เพราะการสืบพยานโจทก์เป็นการดำเนินกระบวนพิจารณาที่ผิดระเบียบ
2. ไม่ถูกต้อง เพราะมีการดำเนินกระบวนพิจารณาสืบพยานโจทก์ไปก่อนแล้ว จึงไม่ชอบ
3. ถูกต้องแล้ว เพราะศาลมีอำนาจแก้ไข ทำให้ถูกต้องตามกฎหมายก่อนพิพากษา
4. ถูกต้องแล้ว เพราะศาลมีอำนาจแก้ไขข้อบกพร่องโดยมีให้กระบวนการพิจารณาล่าช้า",3. ถูกต้องแล้ว เพราะศาลมีอำนาจแก้ไข ทำให้ถูกต้องตามกฎหมายก่อนพิพากษา
15,"คําถาม: การค้นหาความจริงในคดีอาญา ในหลายกรณีจำเป็นต้องค้นหาพยานหลักฐานทั้งจากสถานที่เกิดเหตุและจากศพ การค้นหาพยานหลักฐานจากที่เกิดเหตุ เป็นหน้าที่โดยครงของผู้ใด

ตัวเลือก:
1. ตำรวจองวิทยาการหรือกองพิสูจน์หลักฐาน
2. แพทย์นิดิเวช
3. อัยการ
4. ฝ่ายปกครอง",1. ตำรวจองวิทยาการหรือกองพิสูจน์หลักฐาน
16,"คําถาม: การยื่นคำคัดค้านคำขอจดทะเบียนเครื่องหมายการค้าฯ จะต้องกระจำภายในกำหนดเวลาเท่าใด

ตัวเลือก:
1. 30 วัน นับแต่วันประกาศโฆษณาคำขอ
2. 30 วัน นับแต่วันทราบประกาศโฆษณาคำขอ
3. 90 วัน นับแต่วันประกาศโฆษณาคำขอ
4. 90 วัน นับแต่วันทราบประกาศโฆษณาคำขอ",3. 90 วัน นับแต่วันประกาศโฆษณาคำขอ
17,"คําถาม: ทนายความผู้ที่จะมีสิทธิเลือกตั้งนายและกรรมการสภาทนายความต้องจดทะเบียนและรับใบอนุญาตก่อนวันเลือกตั้งไม่น้อยกว่า

ตัวเลือก:
1. สามสิบวัน
2. หกสิบวัน
3. เก้าสิบวัน
4. หนึ่งร้อยยี่สิบวัน",1. สามสิบวัน
18,"คําถาม: การขอยกเว้นค่าธรรมเนียมศาลในการฟ้องหรือต่อสู้คดีในศาลชั้นต้น ชั้นอุทธรณ์หรือฎีกา ผู้ขอต้องยื่นคำร้องพร้อมคำฟ้อง คำฟ้องอุทธรณ์หรือฎีกา ต่อศาลใด

ตัวเลือก:
1. ศาลชั้นต้น
2. ศาลอุทธรณ์
3. ศาลฎีกา
4. ศาลแขวง",1. ศาลชั้นต้น
19,"คําถาม: นาย ศ ทนายความถูกคณะกรรมการสภาทนายความมีคำสั่งลบชื่อออกจากทะเบียนทนายความ นาย ศ ได้รับทราบคำสั่งเมื่อวันที่ 3 ตุลาคม 2555 และได้ยื่นอุทธรณ์คำสั่งต่อสภานายกพิเศษแห่งสภาทนายความเมื่อวันที่ 30 ตุลาคม 2555 สภานายกพิเศษแห่งสภาทนายความมีคำสั่งให้สอบสวนพยานเพิ่มเต็ม นาย ศ ยังทำหน้าที่ทนายความในศาลได้หรือไม่

ตัวเลือก:
1. ไม่ได้ เพราะความเป็นทะนายความของนาย ศ สิ้นสุดลงแล้วและไม่มีคำสั่งให้ทุเลาการรับการตามคำสั่งที่ให้ลบชื่อ
2. ได้ เพราะคดียังไม่ถึงที่สุด
3. ได้ เพราะสภานายกพิเศษฯ มีคำสั่งให้สอบสวนเพิ่มเติม
4. ไม่ได้ เพราะนาย ศ มิได้ฟ้องคดีต่อศาลปกครอง",1. ไม่ได้ เพราะความเป็นทะนายความของนาย ศ สิ้นสุดลงแล้วและไม่มีคำสั่งให้ทุเลาการรับการตามคำสั่งที่ให้ลบชื่อ
20,"คําถาม: คำว่า “บุคคลผู้ได้รับความเสียหาย” ในคดีมรรยาททนายความหมายความว่าอย่างไร

ตัวเลือก:
1. เป็นผู้เสียหายโดยนิตินัย
2. เป็นผู้เสียหายตามประมวลกฎหมายวิธีพิจารณาความอาญา มาตรา ๒(๔)
3. ไม่จำเป็นต้องเป็นผู้เสียหายโดยนิตินัยเท่านั้น
4. ผิดทุกข้อ",3. ไม่จำเป็นต้องเป็นผู้เสียหายโดยนิตินัยเท่านั้น
21,"คําถาม: นายจันทร์ ทนายความ ตกลงรับจ้างนายอังคาร ฟ้องคดีเรียกร้องเงินตามเช็คจากลูกหนี้ โดยไม่การทำสัญญาไว้เป็นหนังสือ แต่ไม่ฟ้องคดีให้และไม่คืนเงินค่าทนายความแก่นายอังคาร นายจันทร์ประพฤติผิดมรรยาททนายความหรือไม่

ตัวเลือก:
1. ไม่ผิดมรรยาททนายความ เพราะไม่มีข้อตกลงเป็นหนังสือ นายอังคารต้องไปฟ้องคดีแพ่งเรียกร้องเงินคืน
2. ผิดมรรยาททนายความเพราะเป็นการจงใจทอดทั้งคดี และครอบครองหรือหน่วงเหนี่ยวของลูกความไว้โดยไม่ได้รับความยินยอมและไม่มีเหตุอันสมควร
3. ผิดมารยาททนายความเพราะเป็นการละเว้นหน้าที่อันควรกระทำอันเกี่ยวแก่การดำเนินคดีแห่งลูกความของตน
4. ไม่ผิดมรรยาททนายความเพราะนายอังคารยังไม่มีหนังสือบอกกล่าวทวงถามให้ดำเนินภายในเวลาอันสมควรเสียก่อน",2. ผิดมรรยาททนายความเพราะเป็นการจงใจทอดทั้งคดี และครอบครองหรือหน่วงเหนี่ยวของลูกความไว้โดยไม่ได้รับความยินยอมและไม่มีเหตุอันสมควร
22,"คําถาม: วัตถุประสงค์ของสภาทนายความ ตามพระราชบัญญัติทนายความ พ.ศ. 2528 คือ

ตัวเลือก:
1. ส่งเสริมการศึกษาและการประกอบวิชาชีพทนายความ
2. ควบคุมมรรยาททนายความ
3. ส่งเสริม ช่วยเหลือ แนะนำ เผยแพร่ และให้การศึกษาแก่ประชาชน
4. ถูกทุกข้อ",4. ถูกทุกข้อ
23,"คําถาม: นาย ก. ใช้อาวุธปืนยิงผู้อื่นถึงแก่ความตายแล้วหลบหนีไป 1 เดือน พนักงานสอบสวนเก็บปลอกกระสุนปืนที่ตกอยู่ใกล้ศพได้ 1 ปลอก ต่อมา นาย ก ถูกจับกุมตัวได้พร้อมอาวุธปืน นาย ก. ปฏิเสธว่าไม่ได้เป็นผู้ก่อเหตุฆ่าคนตาย และอาวุธปืนที่พนักงานสอบสวนยึดมาได้ไม่มีเข็มแทงชนวน อยากทราบว่าหลักฐานอะไรที่จะสามารถใช้มัดตัว นาย ก. ได้

ตัวเลือก:
1. ไม่มีหลักฐานเพราะไม่มีเข็มแทงชนวนก็ตรวจปลอกกระสุนกับอาวุธปืนของกลางไม่ได้
2. ตรวจเขม่าปืนที่มือของ นาย ก. ได้
3. ปืนไม่มีเข็มแทงชนวนก็สามารถตรวจได้
4. ไม่มีข้อใดถูกต้อง",3. ปืนไม่มีเข็มแทงชนวนก็สามารถตรวจได้
24,"คําถาม: การร้องสอดและการขอหรือเรียกเข้าเป็นคู่ความร่วมตามประมวลกฎหมายวิธีพิจารณาความแพ่ง มาตรา 57 นั้น

ตัวเลือก:
1. การร้องสอดต้องทำในศาลชั้นต้นเท่านั้น จะร้องสอดชั้นอุทธรณ์ฎีกาไม่ได้
2. ศาลมีอำนาจใช้ดุลพินิจ ไม่อนุญาตให้ร้องสอดได้
3. ผู้ร้องสอดมีฐานะเป็นคู่ความอาจผูกพันตามคำพิพากษา และใช้สิทธิอุทธรณ์ฎีกาได้
4. ถูกทุกข้อ",4. ถูกทุกข้อ
25,"คําถาม: ข้อใดเป็นไปตามหลักเกณฑ์ของการยื่นบัญชีระบุพยาน

ตัวเลือก:
1. การยื่นบัญชีระบุพยานครั้งแรกต้องยื่นก่อนวันชี้สองสถานหรือก่อนวันสืบพยานอย่างน้อยสิบห้าวัน
2. ในคดีอาญาหากไม่มีวันตรวจพยานหลักฐานต้องยื่นบัญชีระบุพยานเพิ่มเติมภายในสิบห้าวันหลังจากวันสืบพยาน
3. หากพยานเป็นตัวโจทก์หรือตัวจำเลยเองจะระบุเป็นพยานเพิ่มเติมเวลาใดก็ได้
4. ไม่มีข้อถูก",2. ในคดีอาญาหากไม่มีวันตรวจพยานหลักฐานต้องยื่นบัญชีระบุพยานเพิ่มเติมภายในสิบห้าวันหลังจากวันสืบพยาน
26,"คําถาม: ศาลรับประเด็นไม่มีอำนาจสั่งกรณีใด

ตัวเลือก:
1. ออกหมายเรียกพยานบุคคลและคำสั่งเรียกพยานเอกสาร
2. รับใบแต่งทนาย
3. รับและอนุญาตให้คู่ความระบุพยานเพิ่มเติม
4. ถูกทุกข้อ",3. รับและอนุญาตให้คู่ความระบุพยานเพิ่มเติม
27,"คําถาม: คำพิพากษาในกรณีใดที่บังคับคดีโดยเจ้าหนักงานบังคับคดีไม่ได้

ตัวเลือก:
1. คำพิพากษาให้จำเลยออกไปจากที่ดินของโจทก์
2. คำพิพากษาให้จำเลยรื้อถอนสิ่งปลูกสร้างออกไปจากที่ดินของโจทก์
3. คำพิพากษาห้ามจำเลยใช้นามสกุลของโจทก์
4. ไม่มีข้อใดถูกต้อง",3. คำพิพากษาห้ามจำเลยใช้นามสกุลของโจทก์
28,"คําถาม: คำให้การของจำเลยเป็นคำให้การปฏิเสธข้ออ้างของโจทก์ทั้งสิ้น แต่ไม่มีเหตุแห่งการปฏิเสธข้อใดถูกต้อง

ตัวเลือก:
1. เป็นคำให้การที่ไม่ชอบด้วยกฎหมาย จำเลยไม่มีสิทธินำพยานมาสืบตามข้อต่อสู้
2. เป็นคำให้การที่ไม่ชอบด้วยกฎหมาย ถือว่าจำเลยยอมรับข้ออ้างของโจทก์ทั้งสิ้น
3. เป็นคำให้การที่ไม่ชอบด้วยกฎหมาย ศาลจะกำหนดให้จำเลยนำพยานมาสืบตามจ้อต่อสู้หรือไม่ก็ได้
4. เป็นคำให้การที่ไม่ชอบด้วยกฎหมาย ศาลต้องกำหนดเป็นประเด็นข้อพิพากไว้และจำเลยมีสิทธินำยานมาสืบตามข้อต่อสู้",1. เป็นคำให้การที่ไม่ชอบด้วยกฎหมาย จำเลยไม่มีสิทธินำพยานมาสืบตามข้อต่อสู้
29,"คําถาม: คำให้การของจำเลยในข้อใดไม่ก่อให้เกิดประเด็นข้อพิพาทที่ศาลจะต้องวินิจฉัย

ตัวเลือก:
1. จำเลยให้การต่อสู้ว่า ฟ้องโจทก์เคลือบคลุม ไม่ได้บรรยายสภาพแห่งข้อหาให้ชัดเจนแจ้งข้อความก็ไม่ต่อเนื่องไม่สามารถเข้าใจข้อความแห่งคำฟ้อง
2. จำเลยให้การต่อสู้ว่า โจทก์เป็นนิติบุคลประเภทบริษัทจำกัดหรือไม่ ไม่ทราบและไม่รับรอง
3. จำเลยให้การต่อสู้ว่า โจทก์ได้รับโอนเช็คพิพาทจากบุคคลอื่นโดยสมคบกันฉ้อฉลจำเลยโจทก์ไม่ใช่ผู้ทรงเช็คโดยชอบ
4. ถูกทุกข้อ",4. ถูกทุกข้อ
30,"คําถาม: คดีอาญาเรื่องหนึ่ง ศาลชั้นต้อพิพากษาว่าจำเลยมีความผิดฐานฆ่าผู้อื่นโดยไตร่ตรองไว้ก่อนลงโทษประหารชีวิต จำเลยอุทธรณ์ว่ามิได้กระทำความผิด ศาลอุทธรณ์พิพากษาแก้เป็นว่าให้ลดโทษจำเลยหนึ่งในสามคงจำคุกจำเลยตลอดชีวิตข้อใดไม่ถูกต้อง

ตัวเลือก:
1. จำเลยฎีกาว่าไม่ได้กระทำความผิดตามฟ้องได้
2. จำเลยฎีกาขอให้ลงโทษสถานเบาโดยลดโทษให้แก่จำเลยกึ่งหนึ่งได้
3. โจทก์ฎีกาขอให้ลงโทษจำเลยหนักขึ้นได้
4. จำเลยฎีกาได้ทั้งในปัญหาข้อเท็จจริงและข้อกฎหมาย",3. โจทก์ฎีกาขอให้ลงโทษจำเลยหนักขึ้นได้
31,"คําถาม: ในคดีอาญาที่ศาลชั้นต้นพิพากษายกฟ้องโจทก์โดยข้อเท็จจริง แต่ศาลอึทธรณ์พิพากษายกฟ้องโจทก์โดยอาศัยข้อกฎหมายนั้น ข้อใดถูกต้อง

ตัวเลือก:
1. โจทก์ฎีกาได้เฉพาะปัญหาข้อกฎหมาย
2. โจทก์ฎีกาได้เฉพาะปัญหาข้อเท็จจริง
3. โจทก์ฎีกาได้ทั้งปัญหาข้อเท็จจริงและข้อกฎหมาย
4. โจทก์ฎีกาไม่ได้ทั้งปัญหาข้อเท็จจริง และปัญหาข้อกฎหมาย",4. โจทก์ฎีกาไม่ได้ทั้งปัญหาข้อเท็จจริง และปัญหาข้อกฎหมาย
32,"คําถาม: ในทางกฎหมายไม่ได้นิยามไว้ว่า เมื่อไรจึงจะถือว่ามนุษย์ถึงแก่ความตาย เมื่อมีประเด็นที่จะต้องวินิจฉัยในเรื่องดังกล่าว จะถือตามเกณฑ์วินิจฉัยทางการแพทย์ ซึ่งเกณฑ์ทั่วไปในทุกวันนี้จะถือเกณฑ์

ตัวเลือก:
1. การตายของสมองส่วน Cortex
2. การตายของ Brain Stem
3. การที่หัวใจหยุดเต้น
4. การที่ปอดหยุดทำงาน",2. การตายของ Brain Stem
33,"คําถาม: ความที่ประสงค์ขอยกเว้นธรรมเนียมศาลชั้นฎีกา จะต้องยื่นคำร้องต่อศาลใดและศาลใดมีอำนาจสั่งคำร้อง

ตัวเลือก:
1. ยื่นโดยตรงต่อศาลฎีกาและศาลฎีกามีอำนาจสั่ง
2. ยื่นคำร้องต่อศาลชั้นต้น ศาลชั้นต้นส่งคำร้องไปให้ศาลฎีกาสั่ง
3. ยื่นคำร้องต่อศาลชั้นต้น และศาลชั้นต้นเป็นผู้สั่ง
4. ยื่นต่อศาลฎีกา ศาลฎีกาส่งคำร้องให้ศาลชั้นต้นไต่สวน เสร็จแล้วส่งไปให้ศาลฎีกาสั่ง",3. ยื่นคำร้องต่อศาลชั้นต้น และศาลชั้นต้นเป็นผู้สั่ง
