question,positive_contexts,vistec_answer,answer,law,label
หากสัญญามีข้อกำหนดเฉพาะเกี่ยวกับการระงับข้อพิพาทหรือการอุทธรณ์ สามารถทำตามสัญญาโดยไม่ต้องทำตามกฎหมายได้หรือไม่,"[{'context': 'พระราชบัญญัติการประกอบกิจการพลังงาน พ.ศ. 2550 มาตรา 119 เว้นแต่ในสัญญาจะมีข้อกำหนดว่าด้วยการระงับข้อพิพาทหรือการอุทธรณ์เป็นอย่างอื่น การดำเนินการระงับข้อพิพาทหรือการอุทธรณ์ให้เป็นไปตามบทบัญญัติในหมวดนี้', 'metadata': {'law_code': 'ก0123-1B-0001', 'law_title': 'พระราชบัญญัติการประกอบกิจการพลังงาน พ.ศ. 2550', 'section': '119'}, 'unique_key': 'ก0123-1B-0001-119'}]",หากในสัญญามีข้อกำหนดว่าด้วยการระงับข้อพิพาทหรือการอุทธรณ์เป็นอย่างอื่น การดำเนินการระงับข้อพิพาทหรือการอุทธรณ์จะต้องเป็นไปตามข้อกำหนดในสัญญานั้น ๆ สามารถทำได้โดยไม่ผิดกฎหมาย คำอธิบาย : พระราชบัญญัติการประกอบกิจการพลังงาน พ.ศ. 2550 มาตรา 119 เว้นแต่ในสัญญาจะมีข้อกำหนดว่าด้วยการระงับข้อพิพาทหรือการอุทธรณ์เป็นอย่างอื่น การดำเนินการระงับข้อพิพาทหรือการอุทธรณ์ให้เป็นไปตามบทบัญญัติในหมวดนี้,ขออภัยคำถามของคุณไม่มีประมวลกฎหมายในระบบรองรับ,พระราชบัญญัติการประกอบกิจการพลังงาน พ.ศ. 2550,0
เมื่อหอการค้าล้มละลายการชำระบัญชีหอการค้าต้องบังคับใช้ตามกฎหมายใด,"[{'context': 'พระราชบัญญัติหอการค้า พ.ศ. 2509 มาตรา 46 การชำระบัญชีหอการค้าซึ่งเลิกตามมาตรา 44 ให้นำบทบัญญัติแห่งประมวลกฎหมายแพ่งและพาณิชย์อันว่าด้วยการชำระบัญชีห้างหุ้นส่วนจดทะเบียน ห้างหุ้นส่วนจำกัด และบริษัทจำกัด มาใช้บังคับโดยอนุโลม', 'metadata': {'law_code': 'ห0002-1B-0001', 'law_title': 'พระราชบัญญัติหอการค้า พ.ศ. 2509', 'section': '46'}, 'unique_key': 'ห0002-1B-0001-46'}]",ให้นำบทบัญญัติแห่งประมวลกฎหมายแพ่งและพาณิชย์อันว่าด้วยการชำระบัญชีห้างหุ้นส่วนจดทะเบียน ห้างหุ้นส่วนจำกัด และบริษัทจำกัด มาใช้บังคับโดยอนุโลม,ขออภัยคำถามของคุณไม่มีประมวลกฎหมายในระบบรองรับ,พระราชบัญญัติหอการค้า พ.ศ. 2509,0
เมื่อนิติบุคคลเฉพาะกิจดำเนินโครงการที่ได้รับอนุมัติโดยมิได้ทำการแปลงสินทรัพย์เป็นหลักทรัพย์ให้สำเร็จ สำนักงาน ก.ล.ต.มีอำนาจอย่างไร,"[{'context': 'พระราชกำหนดนิติบุคคลเฉพาะกิจเพื่อการแปลงสินทรัพย์เป็นหลักทรัพย์ พ.ศ. 2540 มาตรา 22 ในกรณีที่สำนักงาน ก.ล.ต. พบว่า นิติบุคคลเฉพาะกิจใดดำเนินโครงการที่ได้รับอนุมัติโดยมิได้ทำการแปลงสินทรัพย์เป็นหลักทรัพย์ให้สำเร็จตามความมุ่งหมายของโครงการและไม่มีเหตุผลอันสมควร ให้สำนักงาน ก.ล.ต. มีอำนาจเพิกถอนการจดทะเบียนนิติบุคคลเฉพาะกิจนั้น รวมทั้งมีอำนาจเรียกให้นิติบุคคลเฉพาะกิจและผู้จำหน่ายสินทรัพย์ต้องร่วมกันรับผิดชดใช้เงินเป็นจำนวนสองเท่าของจำนวนเงินค่าธรรมเนียมที่ได้รับยกเว้น และเรียกเบี้ยปรับอีกเป็นจำนวนหนึ่งล้านบาท\nเงินที่ชดใช้และเบี้ยปรับตามวรรคหนึ่ง ให้สำนักงาน ก.ล.ต. นำส่งคลังเป็นรายได้แผ่นดิน', 'metadata': {'law_code': 'น0002-1C-0001', 'law_title': 'พระราชกำหนดนิติบุคคลเฉพาะกิจเพื่อการแปลงสินทรัพย์เป็นหลักทรัพย์ พ.ศ. 2540', 'section': '22'}, 'unique_key': 'น0002-1C-0001-22'}]",สำนักงาน ก.ล.ต. มีอำนาจเพิกถอนการจดทะเบียนนิติบุคคลเฉพาะกิจนั้น รวมทั้งมีอำนาจเรียกให้นิติบุคคลเฉพาะกิจและผู้จำหน่ายสินทรัพย์ต้องร่วมกันรับผิดชดใช้เงินเป็นจำนวนสองเท่าของจำนวนเงินค่าธรรมเนียมที่ได้รับยกเว้น และเรียกเบี้ยปรับอีกเป็นจำนวนหนึ่งล้านบาท ตามพระราชกำหนดนิติบุคคลเฉพาะกิจเพื่อการแปลงสินทรัพย์เป็นหลักทรัพย์ พ.ศ. 2540 มาตรา 22 ในกรณีที่สำนักงาน ก.ล.ต. พบว่า นิติบุคคลเฉพาะกิจใดดำเนินโครงการที่ได้รับอนุมัติโดยมิได้ทำการแปลงสินทรัพย์เป็นหลักทรัพย์ให้สำเร็จตามความมุ่งหมายของโครงการและไม่มีเหตุผลอันสมควร ให้สำนักงาน ก.ล.ต. มีอำนาจเพิกถอนการจดทะเบียนนิติบุคคลเฉพาะกิจนั้น รวมทั้งมีอำนาจเรียกให้นิติบุคคลเฉพาะกิจและผู้จำหน่ายสินทรัพย์ต้องร่วมกันรับผิดชดใช้เงินเป็นจำนวนสองเท่าของจำนวนเงินค่าธรรมเนียมที่ได้รับยกเว้น และเรียกเบี้ยปรับอีกเป็นจำนวนหนึ่งล้านบาท เงินที่ชดใช้และเบี้ยปรับนั้นให้สำนักงาน ก.ล.ต. นำส่งคลังเป็นรายได้แผ่นดิน,ขออภัยคำถามของคุณไม่มีประมวลกฎหมายในระบบรองรับ,พระราชกำหนดนิติบุคคลเฉพาะกิจเพื่อการแปลงสินทรัพย์เป็นหลักทรัพย์ พ.ศ. 2540,0
ถ้ากฎเกณฑ์ของตลาดหลักทรัพย์ก่อให้เกิดความเสียหายหรือกระทบกระเทือนต่อสิทธิประโยชน์ของประชาชน หรือไม่เพียงพอที่จะคุ้มครองและรักษาความเชื่อมั่นของผู้ลงทุน คณะกรรมการ ก.ล.ต.มีอำนาจสั่งอะไร,"[{'context': 'พระราชบัญญัติหลักทรัพย์และตลาดหลักทรัพย์ พ.ศ. 2535 มาตรา 170/1 ในกรณีที่ปรากฏต่อคณะกรรมการ ก.ล.ต. ว่า กฎเกณฑ์ของตลาดหลักทรัพย์อาจก่อให้เกิดความเสียหายหรือกระทบกระเทือนต่อสิทธิประโยชน์ของประชาชนหรือไม่เพียงพอที่จะคุ้มครองและรักษาความเชื่อมั่นของผู้ลงทุนให้คณะกรรมการ ก.ล.ต. มีอำนาจสั่งให้ตลาดหลักทรัพย์กำหนดกฎเกณฑ์เพิ่มเติม ยกเลิกหรือแก้ไขเปลี่ยนแปลงกฎเกณฑ์ที่มีอยู่แล้วได้', 'metadata': {'law_code': 'ห0015-1B-0002', 'law_title': 'พระราชบัญญัติหลักทรัพย์และตลาดหลักทรัพย์ พ.ศ. 2535', 'section': '170/1'}, 'unique_key': 'ห0015-1B-0002-170/1'}]",คณะกรรมการ ก.ล.ต.มีอำนาจสั่งให้ตลาดหลักทรัพย์กำหนดกฎเกณฑ์เพิ่มเติม ยกเลิกหรือแก้ไขเปลี่ยนแปลงกฎเกณฑ์ที่มีอยู่ คำอธิบายขยายความเพิ่มเติม ตาม พระราชบัญญัติหลักทรัพย์และตลาดหลักทรัพย์ พ.ศ. 2535 มาตรา 170/1 ในกรณีที่ปรากฏต่อคณะกรรมการ ก.ล.ต. ว่า กฎเกณฑ์ของตลาดหลักทรัพย์อาจก่อให้เกิดความเสียหายหรือกระทบกระเทือนต่อสิทธิประโยชน์ของประชาชนหรือไม่เพียงพอที่จะคุ้มครองและรักษาความเชื่อมั่นของผู้ลงทุนให้คณะกรรมการ ก.ล.ต. มีอำนาจสั่งให้ตลาดหลักทรัพย์กำหนดกฎเกณฑ์เพิ่มเติม ยกเลิกหรือแก้ไขเปลี่ยนแปลงกฎเกณฑ์ที่มีอยู่แล้วได้,ขออภัยคำถามของคุณไม่มีประมวลกฎหมายในระบบรองรับ,พระราชบัญญัติหลักทรัพย์และตลาดหลักทรัพย์ พ.ศ. 2535,0
ผู้ใดมีหน้าที่ศึกษารวบรวม วิเคราะห์ และเผยแพร่ข้อมูลเกี่ยวกับการประกอบกิจการพลังงานสภาพการแข่งขันในการประกอบกิจการพลังงาน การพยากรณ์ความต้องการไฟฟ้า,"[{'context': 'พระราชบัญญัติการประกอบกิจการพลังงาน พ.ศ. 2550 มาตรา 31 ให้สำนักงานมีอำนาจหน้าที่รับผิดชอบเกี่ยวกับกิจการทั่วไปของสำนักงานและให้มีอำนาจหน้าที่ ดังต่อไปนี้\n(1) รับผิดชอบงานธุรการของคณะกรรมการ\n(2) รับค่าธรรมเนียมตามที่กำหนดในกฎหมายหรือตามที่คณะกรรมการกำหนด\n(3) รับเรื่องร้องเรียนเกี่ยวกับการประกอบกิจการพลังงาน\n(4) ศึกษารวบรวม วิเคราะห์ และเผยแพร่ข้อมูลเกี่ยวกับการประกอบกิจการพลังงานสภาพการแข่งขันในการประกอบกิจการพลังงาน การพยากรณ์ความต้องการไฟฟ้า และข้อมูลอื่น ๆ ที่เกี่ยวข้อง\n(5) จัดทำประมาณการรายรับและรายจ่ายของสำนักงานเพื่อเสนอคณะกรรมการให้ความเห็นชอบ\n(6) ปฏิบัติการอื่นใดตามที่คณะกรรมการมอบหมาย หรือตามที่พระราชบัญญัตินี้หรือกฎหมายอื่นกำหนดให้เป็นอำนาจหน้าที่ของสำนักงาน', 'metadata': {'law_code': 'ก0123-1B-0001', 'law_title': 'พระราชบัญญัติการประกอบกิจการพลังงาน พ.ศ. 2550', 'section': '31'}, 'unique_key': 'ก0123-1B-0001-31'}]",สำนักงานคณะกรรมการกำกับกิจการพลังงาน คำอธิบาย : พระราชบัญญัติการประกอบกิจการพลังงาน พ.ศ. 2550 มาตรา 31 ให้สำนักงานมีอำนาจหน้าที่รับผิดชอบเกี่ยวกับกิจการทั่วไปของสำนักงานและให้มีอำนาจหน้าที่ ดังต่อไปนี้ (1) รับผิดชอบงานธุรการของคณะกรรมการ (2) รับค่าธรรมเนียมตามที่กำหนดในกฎหมายหรือตามที่คณะกรรมการกำหนด (3) รับเรื่องร้องเรียนเกี่ยวกับการประกอบกิจการพลังงาน (4) ศึกษารวบรวม วิเคราะห์ และเผยแพร่ข้อมูลเกี่ยวกับการประกอบกิจการพลังงานสภาพการแข่งขันในการประกอบกิจการพลังงาน การพยากรณ์ความต้องการไฟฟ้า และข้อมูลอื่น ๆ ที่เกี่ยวข้อง,ขออภัยคำถามของคุณไม่มีประมวลกฎหมายในระบบรองรับ,พระราชบัญญัติการประกอบกิจการพลังงาน พ.ศ. 2550,0
พนักงานเจ้าหน้าที่มีอำนาจในการดำเนินการใดบ้างเพื่อให้การตรวจสอบกิจการพลังงานเป็นไปตามกฎหมายที่กำหนด,"[{'context': 'พระราชบัญญัติการประกอบกิจการพลังงาน พ.ศ. 2550 มาตรา 122 เพื่อปฏิบัติการให้เป็นไปตามพระราชบัญญัตินี้ ให้พนักงานเจ้าหน้าที่มีอำนาจหน้าที่ ดังต่อไปนี้\n(1) เข้าไปในอาคารหรือสถานประกอบกิจการพลังงานของผู้รับใบอนุญาตในระหว่างเวลาพระอาทิตย์ขึ้นจนถึงพระอาทิตย์ตก หรือในเวลาทำการของสถานที่นั้น เพื่อตรวจสอบกิจการสมุดบัญชี เอกสารหลักฐาน หรือข้อมูลที่เกี่ยวข้อง รวมทั้งการกระทำใดของผู้รับใบอนุญาตที่อาจเป็นการฝ่าฝืนหรือไม่ปฏิบัติตามบทบัญญัติแห่งพระราชบัญญัตินี้ หรือเงื่อนไขที่กำหนดในใบอนุญาต\n(2) มีหนังสือเรียกบุคคลใดมาให้ถ้อยคำ หรือให้ส่งเอกสารหรือวัตถุใดมาเพื่อประกอบการพิจารณา\n(3) ตรวจสอบและรวบรวมข้อเท็จจริงแล้วรายงานต่อคณะกรรมการในกรณีที่ผู้รับใบอนุญาตได้กระทำผิดหรือทำให้เกิดความเสียหายเนื่องจากการฝ่าฝืนหรือไม่ปฏิบัติตามบทบัญญัติแห่งพระราชบัญญัตินี้ หรือเงื่อนไขที่กำหนดในใบอนุญาต\n(4) เข้าไปใช้สอยหรือครอบครองอสังหาริมทรัพย์ซึ่งมิใช่ที่อยู่อาศัยของบุคคลเป็นการชั่วคราว เพื่อประโยชน์ในการสำรวจ หรือเพื่อหาสถานที่ตั้งระบบโครงข่ายพลังงานตามที่กำหนดในมาตรา 105 โดยอนุมัติของคณะกรรมการ\n(5) เข้าไปดำเนินการในที่ดินหรือทรัพย์สินของบุคคลอื่นตามที่กำหนดในมาตรา 107 มาตรา 109 มาตรา 113 มาตรา 114 และมาตรา 116 โดยอนุมัติของคณะกรรมการ\nเมื่อได้เข้าไปและลงมือตรวจสอบตาม (1) แล้วยังดำเนินการไม่เสร็จ จะกระทำต่อไปในเวลาหลังพระอาทิตย์ตกหรือนอกเวลาทำการของสถานที่นั้นได้ตามความจำเป็นและเหมาะสม\nในการปฏิบัติหน้าที่ตาม (1) พนักงานเจ้าหน้าที่ต้องไม่กระทำการอันมีลักษณะเป็นการข่มขู่หรือเป็นการค้นตามประมวลกฎหมายวิธีพิจารณาความอาญา', 'metadata': {'law_code': 'ก0123-1B-0001', 'law_title': 'พระราชบัญญัติการประกอบกิจการพลังงาน พ.ศ. 2550', 'section': '122'}, 'unique_key': 'ก0123-1B-0001-122'}]",พนักงานเจ้าหน้าที่มีอำนาจดังต่อไปนี้: (1) เข้าไปตรวจสอบกิจการในอาคารหรือสถานประกอบกิจการพลังงานตามที่กำหนด (2) มีหนังสือเรียกบุคคลมาให้ถ้อยคำหรือส่งเอกสาร (3) ตรวจสอบและรวบรวมข้อเท็จจริงแล้วรายงานต่อคณะกรรมการ (4) เข้าไปใช้สอยหรือครอบครองอสังหาริมทรัพย์ชั่วคราวเพื่อสำรวจหาสถานที่ตั้งระบบโครงข่ายพลังงาน (5) เข้าไปดำเนินการในที่ดินหรือทรัพย์สินของบุคคลอื่นตามที่กำหนดในกฎหมาย โดยอนุมัติของคณะกรรมการ นอกจากนี้ การปฏิบัติหน้าที่ต้องไม่กระทำการอันมีลักษณะเป็นการข่มขู่หรือค้นตามประมวลกฎหมายวิธีพิจารณาความอาญา คำอธิบาย : พระราชบัญญัติการประกอบกิจการพลังงาน พ.ศ. 2550 มาตรา 122 เพื่อปฏิบัติการให้เป็นไปตามพระราชบัญญัตินี้ ให้พนักงานเจ้าหน้าที่มีอำนาจหน้าที่ ดังต่อไปนี้ (1) เข้าไปในอาคารหรือสถานประกอบกิจการพลังงานของผู้รับใบอนุญาตในระหว่างเวลาพระอาทิตย์ขึ้นจนถึงพระอาทิตย์ตก หรือในเวลาทำการของสถานที่นั้น เพื่อตรวจสอบกิจการสมุดบัญชี เอกสารหลักฐาน หรือข้อมูลที่เกี่ยวข้อง รวมทั้งการกระทำใดของผู้รับใบอนุญาตที่อาจเป็นการฝ่าฝืนหรือไม่ปฏิบัติตามบทบัญญัติแห่งพระราชบัญญัตินี้ หรือเงื่อนไขที่กำหนดในใบอนุญาต (2) มีหนังสือเรียกบุคคลใดมาให้ถ้อยคำ หรือให้ส่งเอกสารหรือวัตถุใดมาเพื่อประกอบการพิจารณา (3) ตรวจสอบและรวบรวมข้อเท็จจริงแล้วรายงานต่อคณะกรรมการในกรณีที่ผู้รับใบอนุญาตได้กระทำผิดหรือทำให้เกิดความเสียหายเนื่องจากการฝ่าฝืนหรือไม่ปฏิบัติตามบทบัญญัติแห่งพระราชบัญญัตินี้ หรือเงื่อนไขที่กำหนดในใบอนุญาต (4) เข้าไปใช้สอยหรือครอบครองอสังหาริมทรัพย์ซึ่งมิใช่ที่อยู่อาศัยของบุคคลเป็นการชั่วคราว เพื่อประโยชน์ในการสำรวจ หรือเพื่อหาสถานที่ตั้งระบบโครงข่ายพลังงานตามที่กำหนดในมาตรา 105 โดยอนุมัติของคณะกรรมการ (5) เข้าไปดำเนินการในที่ดินหรือทรัพย์สินของบุคคลอื่นตามที่กำหนดในมาตรา 107 มาตรา 109 มาตรา 113 มาตรา 114 และมาตรา 116 โดยอนุมัติของคณะกรรมการ เมื่อได้เข้าไปและลงมือตรวจสอบตาม (1) แล้วยังดำเนินการไม่เสร็จ จะกระทำต่อไปในเวลาหลังพระอาทิตย์ตกหรือนอกเวลาทำการของสถานที่นั้นได้ตามความจำเป็นและเหมาะสม ในการปฏิบัติหน้าที่ตาม (1) พนักงานเจ้าหน้าที่ต้องไม่กระทำการอันมีลักษณะเป็นการข่มขู่หรือเป็นการค้นตามประมวลกฎหมายวิธีพิจารณาความอาญา,ขออภัยคำถามของคุณไม่มีประมวลกฎหมายในระบบรองรับ,พระราชบัญญัติการประกอบกิจการพลังงาน พ.ศ. 2550,0
ผู้รับใบอนุญาตระบบโครงข่ายพลังงานเลือกให้บริการเฉพาะกลุ่มได้หรือไม่,"[{'context': 'พระราชบัญญัติการประกอบกิจการพลังงาน พ.ศ. 2550 มาตรา 80 ผู้รับใบอนุญาตที่มีระบบโครงข่ายพลังงานต้องประกอบกิจการพลังงานอย่างเป็นธรรมและจะเลือกปฏิบัติอย่างไม่เป็นธรรมมิได้', 'metadata': {'law_code': 'ก0123-1B-0001', 'law_title': 'พระราชบัญญัติการประกอบกิจการพลังงาน พ.ศ. 2550', 'section': '80'}, 'unique_key': 'ก0123-1B-0001-80'}]",ไม่ได้ เพราะถือว่าเป็นการเลือกปฏิบัติ คำอธิบาย : ระราชบัญญัติการประกอบกิจการพลังงาน พ.ศ. 2550 มาตรา 80 ผู้รับใบอนุญาตที่มีระบบโครงข่ายพลังงานต้องประกอบกิจการพลังงานอย่างเป็นธรรมและจะเลือกปฏิบัติอย่างไม่เป็นธรรมมิได้,ขออภัยคำถามของคุณไม่มีประมวลกฎหมายในระบบรองรับ,พระราชบัญญัติการประกอบกิจการพลังงาน พ.ศ. 2550,0
การตั้งหอการค้าต้องมีผู้เริ่มก่อตั้งกี่คน,"[{'context': 'พระราชบัญญัติหอการค้า พ.ศ. 2509 มาตรา 9 การขออนุญาตนั้น ให้ผู้เริ่มก่อการจัดตั้งมีจำนวนไม่น้อยกว่าห้าคน ยื่นคำขอต่อนายทะเบียนตามหลักเกณฑ์และวิธีการที่กำหนดในกฎกระทรวง', 'metadata': {'law_code': 'ห0002-1B-0001', 'law_title': 'พระราชบัญญัติหอการค้า พ.ศ. 2509', 'section': '9'}, 'unique_key': 'ห0002-1B-0001-9'}]",จำนวนไม่น้อยกว่า 5 คน พระราชบัญญัติหอการค้า พ.ศ. 2509 มาตรา 9 การขออนุญาตนั้น ให้ผู้เริ่มก่อการจัดตั้งมีจำนวนไม่น้อยกว่า 5 คน ยื่นคำขอต่อนายทะเบียนตามหลักเกณฑ์และวิธีการที่กำหนดในกฎกระทรวง,ขออภัยคำถามของคุณไม่มีประมวลกฎหมายในระบบรองรับ,พระราชบัญญัติหอการค้า พ.ศ. 2509,0
หน่วยงานใดมีอำนาจในการแก้ไขเพิ่มเติมหลักเกณฑ์และวิธีการในการเสนอขายหุ้นใหม่แก่ประชาชนหรือออกหุ้นกู้ในกรณีที่มีเหตุจำเป็น,"[{'context': 'พระราชบัญญัติหลักทรัพย์และตลาดหลักทรัพย์ พ.ศ. 2535 มาตรา 337 บริษัทที่ได้รับอนุญาตให้เสนอขายหุ้นใหม่ต่อประชาชน หรือออกหุ้นกู้ตามมาตรา 19 ตรี แห่งพระราชบัญญัติตลาดหลักทรัพย์แห่งประเทศไทย พ.ศ. 2517 ซึ่งแก้ไขเพิ่มเติมโดยพระราชบัญญัติตลาดหลักทรัพย์แห่งประเทศไทย (ฉบับที่ 2) พ.ศ. 2527 ก่อนวันที่พระราชบัญญัตินี้ใช้บังคับ หรือบริษัทที่ได้รับอนุญาตให้เสนอขายหุ้นใหม่ต่อประชาชนหรือออกหุ้นกู้ตามมาตรา 336 แห่งพระราชบัญญัตินี้ ให้บริษัทดังกล่าวดำเนินการเสนอขายหุ้นใหม่ต่อประชาชนหรือออกหุ้นกู้ต่อไปได้ตามหลักเกณฑ์และวิธีการที่กำหนดตามมาตรา 19 ตรี แห่งพระราชบัญญัติดังกล่าวและในกรณีที่มีเหตุจำเป็นที่จะต้องแก้ไขเพิ่มเติมหลักเกณฑ์และวิธีการดังกล่าวเพื่อให้การเสนอขายหุ้นใหม่ต่อประชาชนหรือออกหุ้นกู้ลุล่วงไปได้ คณะกรรมการตลาดหลักทรัพย์อาจกำหนดหลักเกณฑ์หรือวิธีการใด ๆ ด้วยความเห็นชอบของคณะกรรมการ ก.ล.ต. ก็ได้', 'metadata': {'law_code': 'ห0015-1B-0002', 'law_title': 'พระราชบัญญัติหลักทรัพย์และตลาดหลักทรัพย์ พ.ศ. 2535', 'section': '337'}, 'unique_key': 'ห0015-1B-0002-337'}]",คณะกรรมการตลาดหลักทรัพย์ด้วยความเห็นชอบของคณะกรรมการ ก.ล.ต. คำอธิบายขยายความ: ตามพระราชบัญญัติหลักทรัพย์และตลาดหลักทรัพย์ พ.ศ. 2535 มาตรา 337 ให้บริษัทที่ได้รับอนุญาตให้เสนอขายหุ้นใหม่ต่อประชาชน หรือออกหุ้นกู้นั้นดำเนินการดังกล่าวตามหลักเกณฑ์และวิธีการที่กฎหมายกำหนด ซึ่งหากมีเหตุจำเป็นที่จะต้องแก้ไขเพิ่มเติมหลักเกณฑ์และวิธีการเพื่อให้สามารถเสนอขายหุ้นใหม่หรือออกหุ้นกู้นั้นได้ ให้คณะกรรมการตลาดหลักทรัพย์ด้วยความเห็นชอบของคณะกรรมการ ก.ล.ต. มีอำนาจในการแก้ไขหลักเกณฑ์และวิธีการดังกล่าวนั้น,ขออภัยคำถามของคุณไม่มีประมวลกฎหมายในระบบรองรับ,พระราชบัญญัติหลักทรัพย์และตลาดหลักทรัพย์ พ.ศ. 2535,0
ใครเป็นผู้รักษาการตามพระราชบัญญัติหลักทรัพย์และตลาดหลักทรัพย์ พ.ศ. 2535,"[{'context': 'พระราชบัญญัติหลักทรัพย์และตลาดหลักทรัพย์ พ.ศ. 2535 มาตรา 7 ให้รัฐมนตรีว่าการกระทรวงการคลังรักษาการตามพระราชบัญญัตินี้ และให้มีอำนาจออกกฎกระทรวงและแต่งตั้งพนักงานเจ้าหน้าที่เพื่อปฏิบัติการตามพระราชบัญญัตินี้\nกฎกระทรวงนั้น เมื่อได้ประกาศในราชกิจจานุเบกษาแล้วให้ใช้บังคับได้', 'metadata': {'law_code': 'ห0015-1B-0002', 'law_title': 'พระราชบัญญัติหลักทรัพย์และตลาดหลักทรัพย์ พ.ศ. 2535', 'section': '7'}, 'unique_key': 'ห0015-1B-0002-7'}]",รัฐมนตรีว่าการกระทรวงการคลัง ตาม พระราชบัญญัติหลักทรัพย์และตลาดหลักทรัพย์ พ.ศ. 2535 มาตรา 7 ให้รัฐมนตรีว่าการกระทรวงการคลังรักษาการตามพระราชบัญญัตินี้ และให้มีอำนาจออกกฎกระทรวงและแต่งตั้งพนักงานเจ้าหน้าที่เพื่อปฏิบัติการตามพระราชบัญญัตินี้ กฎกระทรวงนั้น เมื่อได้ประกาศในราชกิจจานุเบกษาแล้วให้ใช้บังคับได้,ขออภัยคำถามของคุณไม่มีประมวลกฎหมายในระบบรองรับ,พระราชบัญญัติหลักทรัพย์และตลาดหลักทรัพย์ พ.ศ. 2535,0
บริษัทต้องยื่นขอจดทะเบียนรายการเปลี่ยนเเปลงภายในกี่วัน ,"[{'context': 'พระราชบัญญัติบริษัทมหาชนจำกัด พ.ศ. 2535 มาตรา 40 ในกรณีที่มีการเปลี่ยนแปลงรายการใดที่แสดงไว้ตามมาตรา 39 วรรคหนึ่ง ให้บริษัทขอจดทะเบียนการเปลี่ยนแปลงรายการนั้นภายในสิบสี่วันนับแต่วันที่มีการเปลี่ยนแปลง', 'metadata': {'law_code': 'บ0011-1B-0001', 'law_title': 'พระราชบัญญัติบริษัทมหาชนจำกัด พ.ศ. 2535', 'section': '40'}, 'unique_key': 'บ0011-1B-0001-40'}]",40 วัน พระราชบัญญัติบริษัทมหาชนจำกัด พ.ศ. 2535 มาตรา 40 ในกรณีที่มีการเปลี่ยนแปลงรายการใดที่แสดงไว้ตามมาตรา 39 วรรคหนึ่ง ให้บริษัทขอจดทะเบียนการเปลี่ยนแปลงรายการนั้นภายในสิบสี่วันนับแต่วันที่มีการเปลี่ยนแปลง,ขออภัยคำถามของคุณไม่มีประมวลกฎหมายในระบบรองรับ,พระราชบัญญัติบริษัทมหาชนจำกัด พ.ศ. 2535,0
ในกรณีใดที่เจ้าพนักงานโดยหน้าที่ราชการได้รู้เรื่องกิจการของผู้เสียภาษี หรือของผู้อื่นที่เกี่ยวข้อง และนำข้อมูลดังกล่าวไปบอกกล่าวกับบุคคลภายนอก ไม่ถือว่ามีความผิดตามพระราชบัญญัติภาษีเงินได้ปิโตรเลียม พ.ศ. 2514 ,"[{'context': 'พระราชบัญญัติภาษีเงินได้ปิโตรเลียม พ.ศ. 2514 มาตรา 71 เจ้าพนักงานผู้ใดฝ่าฝืนมาตรา 11 ต้องระวางโทษจำคุกไม่เกินหกเดือน หรือปรับไม่เกินหกพันบาท หรือทั้งจำทั้งปรับ', 'metadata': {'law_code': 'ภ0002-1B-0001', 'law_title': 'พระราชบัญญัติภาษีเงินได้ปิโตรเลียม พ.ศ. 2514', 'section': '71'}, 'unique_key': 'ภ0002-1B-0001-71'}]",กรณีที่เจ้าพนักงานโดยหน้าที่ราชการได้รู้เรื่องกิจการของผู้เสียภาษี หรือของผู้อื่นที่เกี่ยวข้องมีอำนาจที่จะทำได้โดยชอบด้วยกฎหมาย คำอธิบาย พระราชบัญญัติภาษีเงินได้ปิโตรเลียม พ.ศ. 2514 มาตรา 11 เจ้าพนักงานผู้ใดโดยหน้าที่ราชการได้รู้เรื่องกิจการของผู้เสียภาษี หรือของผู้อื่นที่เกี่ยวข้อง ห้ามมิให้นำออกแจ้งแก่ผู้ใดหรือทำให้เป็นที่ล่วงรู้แก่ผู้อื่นโดยวิธีใด ๆ เว้นแต่จะมีอำนาจที่จะทำได้โดยชอบด้วยกฎหมาย,ขออภัยคำถามของคุณไม่มีประมวลกฎหมายในระบบรองรับ,พระราชบัญญัติภาษีเงินได้ปิโตรเลียม พ.ศ. 2514,0
