knowledges,law,source,question,answer,label
"มาตรา 365   ถ้าการกระทำความผิดตามมาตรา 362 มาตรา 363 หรือมาตรา 364 ได้กระทำ
(1) โดยใช้กำลังประทุษร้าย หรือขู่เข็ญว่าจะใช้กำลังประทุษร้าย
(2) โดยมีอาวุธหรือโดยร่วมกระทำความผิดด้วยกันตั้งแต่สองคนขึ้นไป หรือ
(3) ในเวลากลางคืน
ผู้กระทำต้องระวางโทษจำคุกไม่เกินห้าปี หรือปรับไม่เกินหนึ่งแสนบาท หรือทั้งจำทั้งปรับ",ประมวลกฎหมายอาญา,ประมวลกฎหมายอาญา/ประมวลกฎหมายอาญา_ภาค2_ลักษณะ12_หมวด8.txt,"การกระทำความผิดตามมาตรา 362, 363 หรือ 364 ที่มีลักษณะอย่างไรบ้างที่ทำให้ผู้กระทำต้องระวางโทษจำคุกไม่เกินห้าปี หรือปรับไม่เกินหนึ่งแสนบาท หรือทั้งจำทั้งปรับ?","การกระทำความผิดตามมาตรา 362, 363 หรือ 364 จะต้องระวางโทษจำคุกไม่เกินห้าปี หรือปรับไม่เกินหนึ่งแสนบาท หรือทั้งจำทั้งปรับ หากได้กระทำ (1) โดยใช้กำลังประทุษร้าย หรือขู่เข็ญว่าจะใช้กำลังประทุษร้าย (2) โดยมีอาวุธหรือโดยร่วมกระทำความผิดด้วยกันตั้งแต่สองคนขึ้นไป หรือ (3) ในเวลากลางคืน ตามมาตรา 365 ของประมวลกฎหมายอาญา",0
มาตรา 300  ในระหว่างเจ้าหนี้ร่วมกันนั้น ท่านว่าต่างคนชอบที่จะได้รับชำระหนี้เป็นส่วนเท่า ๆ กัน เว้นแต่จะได้กำหนดไว้เป็นอย่างอื่น,ประมวลกฎหมายแพ่งและพาณิชย์,ประมวลกฎหมายแพ่งและพาณิชย์/ประมวลกฎหมายแพ่งและพาณิชย์_บรรพ2_ลักษณะ1_หมวด3.txt,ในกรณีที่มีเจ้าหนี้หลายคน เจ้าหนี้แต่ละคนมีสิทธิ์ได้รับชำระหนี้อย่างไรตามมาตรา 300 ของประมวลกฎหมายแพ่งและพาณิชย์?,ตามมาตรา 300 ของประมวลกฎหมายแพ่งและพาณิชย์ เจ้าหนี้ร่วมกันแต่ละคนมีสิทธิ์ที่จะได้รับชำระหนี้เป็นส่วนเท่า ๆ กัน เว้นแต่จะได้กำหนดไว้เป็นอย่างอื่น,0
มาตรา 20  คดีที่ได้มีการออกหมายบังคับคดีแต่งตั้งข้าราชการในสำนักงานคณะกรรมการป้องกันและปราบปรามยาเสพติดเป็นเจ้าหนี้ตามคำพิพากษาอยู่ในวันก่อนวันที่ประมวลกฎหมายยาเสพติดท้ายพระราชบัญญัตินี้ใช้บังคับ ให้สำนักงานคณะกรรมการป้องกันและปราบปรามยาเสพติดดำเนินการตามพระราชบัญญัติวิธีพิจารณาคดียาเสพติด พ.ศ. 2550 ต่อไปจนเสร็จสิ้น,ประมวลกฎหมายยาเสพติด,ประมวลกฎหมายยาเสพติด/ประมวลกฎหมายยาเสพติด_บทนำ.txt,ในกรณีที่มีการออกหมายบังคับคดีและแต่งตั้งข้าราชการในสำนักงานคณะกรรมการป้องกันและปราบปรามยาเสพติดเป็นเจ้าหนี้ตามคำพิพากษา ก่อนวันที่ประมวลกฎหมายยาเสพติดใช้บังคับ จะต้องดำเนินการอย่างไร?,ให้สำนักงานคณะกรรมการป้องกันและปราบปรามยาเสพติดดำเนินการตามพระราชบัญญัติวิธีพิจารณาคดียาเสพติด พ.ศ. 2550 ต่อไปจนเสร็จสิ้น,0
"มาตรา 182   เมื่อได้ยื่นคำฟ้อง คำให้การ และคำให้การแก้ฟ้องแย้ง ถ้าหากมี แล้วให้ศาลทำการชี้สองสถานโดยแจ้งกำหนดวันชี้สองสถานให้คู่ความทราบล่วงหน้าไม่น้อยกว่าสิบห้าวัน เว้นแต่ในกรณีดังต่อไปนี้
(1) จำเลยคนใดคนหนึ่งขาดนัดยื่นคำให้การ
(2) คำให้การของจำเลยเป็นการยอมรับโดยชัดแจ้งตามคำฟ้องโจทก์ทั้งสิ้น
(3) คำให้การของจำเลยเป็นคำให้การปฏิเสธข้ออ้างของโจทก์ทั้งสิ้น โดยไม่มีเหตุแห่งการปฏิเสธ ซึ่งศาลเห็นว่าไม่จำเป็นต้องมีการชี้สองสถาน
(4) ศาลเห็นสมควรวินิจฉัยชี้ขาดคดีให้เสร็จไปทั้งเรื่องโดยไม่ต้องสืบพยาน
(5) คดีมโนสาเร่ตามมาตรา 189 หรือคดีไม่มีข้อยุ่งยากตามมาตรา 196
(6) คดีที่ศาลเห็นว่ามีประเด็นข้อพิพาทไม่ยุ่งยากหรือไม่จำเป็นที่จะต้องชี้สองสถาน
ในกรณีที่ไม่ต้องมีการชี้สองสถาน ให้ศาลมีคำสั่งงดการชี้สองสถานและกำหนดวันสืบพยาน ถ้าหากมี แล้วให้ส่งคำสั่งดังกล่าวให้คู่ความทราบตามมาตรา 184 เว้นแต่คู่ความฝ่ายใดจะได้ทราบหรือถือว่าได้ทราบคำสั่งดังกล่าวแล้ว
คู่ความอาจตกลงกันกะประเด็นข้อพิพาทโดยยื่นคำแถลงร่วมกันต่อศาลในกรณีเช่นว่านี้ ให้กำหนดประเด็นข้อพิพาทไปตามนั้น แต่ถ้าศาลเห็นว่าคำแถลงนั้นไม่ถูกต้อง ก็ให้ศาลมีอำนาจที่จะมีคำสั่งยกคำแถลงนั้น แล้วดำเนินการชี้สองสถานไปตามมาตรา 183",ประมวลกฎหมายวิธีพิจารณาความแพ่ง,ประมวลกฎหมายวิธีพิจารณาความแพ่ง/ประมวลกฎหมายวิธีพิจารณาความแพ่ง_ภาค2_ลักษณะ1.txt,เมื่อใดที่ศาลไม่จำเป็นต้องทำการชี้สองสถานตามมาตรา 182?,คู่ความอาจตกลงกันกะประเด็นข้อพิพาทโดยยื่นคำแถลงร่วมกันต่อศาล ในกรณีเช่นนี้ ให้กำหนดประเด็นข้อพิพาทไปตามนั้น แต่ถ้าศาลเห็นว่าคำแถลงนั้นไม่ถูกต้อง ก็ให้ศาลมีอำนาจที่จะมีคำสั่งยกคำแถลงนั้น แล้วดำเนินการชี้สองสถานไปตามมาตรา 183,0
"มาตรา 33  คดีความผิดทางพินัยเป็นอันยุติ ด้วยเหตุดังต่อไปนี้
(1) เมื่อมีการชำระค่าปรับเป็นพินัยหรือทำงานบริการสังคมหรือทำงานสาธารณประโยชน์แทนค่าปรับเป็นพินัยครบถ้วนแล้ว
(2) โดยความตายของผู้กระทำความผิดทางพินัย
(3) เมื่อมีการเปรียบเทียบความผิดอาญาตามมาตรา 16 (4)
(4) เมื่อคดีขาดอายุความตามมาตรา 11 หรือพ้นกำหนดเวลาตามมาตรา 12 แล้วแต่กรณี",พระราชบัญญัติว่าด้วยการปรับเป็นพินัย,พระราชบัญญัติว่าด้วยการปรับเป็นพินัย/พระราชบัญญัติว่าด้วยการปรับเป็นพินัย_หมวด2.txt,คดีความผิดทางพินัยจะยุติลงได้ด้วยเหตุใดบ้าง?,เมื่อคดีขาดอายุความตามมาตรา 11 หรือพ้นกำหนดเวลาตามมาตรา 12 แล้วแต่กรณี,0
"มาตรา 81  สมาคมนายจ้างใหม่นี้ย่อมได้ไปทั้งทรัพย์สิน หนี้สิน สิทธิ หน้าที่ และความรับผิดของสมาคมนายจ้างเดิมที่ได้ควบเข้ากันนั้นทั้งสิ้น
สมาชิกของสมาคมนายจ้างเดิมที่ได้ควบเข้ากันนั้น ย่อมเป็นสมาชิกของสมาคมนายจ้างใหม่นี้",พระราชบัญญัติแรงงานสัมพันธ์,พระราชบัญญัติแรงงานสัมพันธ์/พระราชบัญญัติแรงงานสัมพันธ์_หมวด6.txt,เมื่อสมาคมนายจ้างสองแห่งควบรวมกัน สมาคมนายจ้างใหม่จะได้รับอะไรบ้าง?,สมาคมนายจ้างใหม่จะได้รับทั้งทรัพย์สิน หนี้สิน สิทธิ หน้าที่ และความรับผิดของสมาคมนายจ้างเดิมที่ได้ควบเข้ากันนั้นทั้งสิ้น,0
"มาตรา 115   โดยความปรากฏต่อมา หรือเนื่องจากกลฉ้อฉลหรือผิดหลง ปรากฏว่าสัญญาประกันต่ำไปหรือหลักประกันไม่เพียงพอ หรือเงื่อนไขที่กำหนดไว้ไม่เหมาะสม ให้เจ้าพนักงานหรือศาลมีอำนาจสั่งเปลี่ยนสัญญาประกันให้จำนวนเงินสูงขึ้น หรือเรียกหลักประกันเพิ่ม หรือให้ดีกว่าเดิม หรือเปลี่ยนแปลงเงื่อนไขที่กำหนดไว้ให้มีความเหมาะสมยิ่งขึ้น
ภายหลังที่มีคำสั่งปล่อยชั่วคราวแล้ว หากพฤติการณ์แห่งคดีเปลี่ยนแปลงไป ให้เจ้าพนักงานหรือศาลมีอำนาจสั่งลดหลักประกันได้ตามที่เห็นสมควร
ในกรณีที่ศาลปล่อยชั่วคราวและคดีขึ้นไปสู่ศาลสูง ศาลสูงมีอำนาจแก้ไขเปลี่ยนแปลงจำนวนเงินตามสัญญาประกันหรือเงื่อนไขที่ศาลล่างกำหนดไว้ได้ตามที่เห็นสมควร",ประมวลกฎหมายวิธีพิจารณาความอาญา,ประมวลกฎหมายวิธีพิจารณาความอาญา/ประมวลกฎหมายวิธีพิจารณาความอาญา_ภาค1_ลักษณะ5_หมวด3.txt,ในกรณีที่สัญญาประกันต่ำไปหรือหลักประกันไม่เพียงพอ ศาลหรือเจ้าพนักงานมีอำนาจทำอย่างไร?,ศาลสูงมีอำนาจแก้ไขเปลี่ยนแปลงจำนวนเงินตามสัญญาประกันหรือเงื่อนไขที่ศาลล่างกำหนดไว้ได้ตามที่เห็นสมควร,0
มาตรา 93  ในกรณีที่เจ้าพนักงานพิทักษ์ทรัพย์เข้าว่าคดีที่ค้างพิจารณาอยู่แทนลูกหนี้ ถ้าเจ้าพนักงานพิทักษ์ทรัพย์แพ้คดี เจ้าหนี้ตามคำพิพากษามีสิทธิขอรับชำระหนี้ภายในกำหนดเวลาตามมาตรา 91 แต่ให้นับจากวันคดีถึงที่สุด,พระราชบัญญัติล้มละลาย,พระราชบัญญัติล้มละลาย/พระราชบัญญัติล้มละลาย_หมวด4_ส่วน1.txt,ในกรณีที่เจ้าพนักงานพิทักษ์ทรัพย์เข้าว่าคดีที่ค้างพิจารณาอยู่แทนลูกหนี้ และเจ้าพนักงานพิทักษ์ทรัพย์แพ้คดี เจ้าหนี้ตามคำพิพากษามีสิทธิขอรับชำระหนี้ภายในกำหนดเวลาใด?,เจ้าหนี้ตามคำพิพากษามีสิทธิขอรับชำระหนี้ภายในกำหนดเวลาตามมาตรา 91 แต่ให้นับจากวันคดีถึงที่สุด ตามมาตรา 93 ของพระราชบัญญัติล้มละลาย,0
"มาตรา 37  เมื่อผู้ซื้อที่ดินจัดสรรได้ชำระราคาที่ดินครบถ้วนตามสัญญาจะซื้อจะขายแล้ว ให้ถือว่าที่ดินนั้นพ้นจากการยึดหรืออายัดทั้งปวง ให้ผู้ซื้อที่ดินจัดสรรนำหลักฐานเป็นหนังสือที่แสดงว่าได้ชำระราคาดังกล่าวพร้อมด้วยหนังสือแสดงสิทธิในที่ดินมาขอจดทะเบียนสิทธิและนิติกรรมตามสัญญาจะซื้อจะขายที่ดินจัดสรรต่อพนักงานเจ้าหน้าที่ เมื่อได้รับเอกสารและหลักฐานดังกล่าวแล้ว ให้พนักงานเจ้าหน้าที่ดำเนินการจดทะเบียนสิทธิและนิติกรรมให้แก่ผู้ซื้อที่ดินจัดสรรต่อไป
ถ้าที่ดินจัดสรรตามวรรคหนึ่งมีการจดทะเบียนบุริมสิทธิในมูลซื้อขายอสังหาริมทรัพย์หรือการจำนอง และมีหลักฐานการชำระหนี้บุริมสิทธิหรือจำนองครบถ้วนแล้ว ให้ที่ดินนั้นปลอดจากบุริมสิทธิในมูลซื้อขายอสังหาริมทรัพย์หรือภาระการจำนอง และให้พนักงานเจ้าหน้าที่จดทะเบียนสิทธิและนิติกรรมให้แก่ผู้ซื้อที่ดินจัดสรร
ในกรณีที่ผู้ซื้อที่ดินจัดสรรไม่สามารถนำหนังสือแสดงสิทธิในที่ดินมาแสดงต่อพนักงานเจ้าหน้าที่ได้เพราะบุคคลอื่นยึดถือหรือครอบครองไว้ เมื่อผู้ซื้อที่ดินจัดสรรร้องขอให้พนักงานเจ้าหน้าที่มีอำนาจเรียกหนังสือแสดงสิทธิในที่ดินจากบุคคลที่ยึดถือหรือครอบครองไว้มาดำเนินการจดทะเบียนสิทธิและนิติกรรมให้แก่ผู้ซื้อที่ดินจัดสรรได้
เมื่อพ้นกำหนดสามสิบวันนับแต่วันที่บุคคลที่ยึดถือหรือครอบครองหนังสือแสดงสิทธิในที่ดินได้รับแจ้งหรือถือว่าได้รับแจ้งคำสั่งพนักงานเจ้าหน้าที่ตามวรรคสาม ถ้ายังไม่มีการส่งมอบหนังสือแสดงสิทธิในที่ดินให้แก่พนักงานเจ้าหน้าที่ ให้พนักงานเจ้าหน้าที่มีอำนาจออกใบแทนหนังสือแสดงสิทธิในที่ดินเพื่อดำเนินการจดทะเบียนสิทธิและนิติกรรมให้แก่ผู้ซื้อที่ดินจัดสรรได้",พระราชบัญญัติการจัดสรรที่ดิน,พระราชบัญญัติการจัดสรรที่ดิน/พระราชบัญญัติการจัดสรรที่ดิน_หมวด3.txt,เมื่อผู้ซื้อที่ดินจัดสรรชำระราคาที่ดินครบถ้วนตามสัญญาจะซื้อจะขายแล้ว จะเกิดอะไรขึ้นกับที่ดินนั้น?,ที่ดินนั้นจะพ้นจากการยึดหรืออายัดทั้งปวง และผู้ซื้อสามารถนำหลักฐานการชำระราคาพร้อมหนังสือแสดงสิทธิในที่ดินมาขอจดทะเบียนสิทธิและนิติกรรมตามสัญญาจะซื้อจะขายที่ดินจัดสรรต่อพนักงานเจ้าหน้าที่ได้,0
มาตรา 40  ในระหว่างที่ยังไม่ได้เลือกตั้งกรรมการเจ้าหนี้ขึ้นแทนตามความในมาตราก่อน ถ้ากรรมการเจ้าหนี้มีจำนวนเหลืออยู่ไม่น้อยกว่ากึ่งหนึ่งแล้ว ให้กรรมการเจ้าหนี้นั้นกระทำการต่อไปได้,พระราชบัญญัติล้มละลาย,พระราชบัญญัติล้มละลาย/พระราชบัญญัติล้มละลาย_หมวด1_ส่วน4.txt,ในกรณีที่ยังไม่ได้เลือกตั้งกรรมการเจ้าหนี้ขึ้นแทนตามมาตราก่อน และกรรมการเจ้าหนี้มีจำนวนเหลืออยู่ไม่น้อยกว่ากึ่งหนึ่ง กรรมการเจ้าหนี้สามารถกระทำการต่อไปได้หรือไม่?,กรรมการเจ้าหนี้สามารถกระทำการต่อไปได้ หากมีจำนวนเหลืออยู่ไม่น้อยกว่ากึ่งหนึ่ง ตามมาตรา 40 ของพระราชบัญญัติล้มละลาย,0
มาตรา 63  ค่าปรับจากการเปรียบเทียบที่องค์กรปกครองส่วนท้องถิ่นได้ปฏิบัติการและดำเนินการเปรียบเทียบความผิดตามที่ได้รับมอบหมายตามมาตรา 62 วรรคหนึ่ง ให้ตกเป็นรายได้ขององค์กรปกครองส่วนท้องถิ่นนั้น,พระราชบัญญัติคุ้มครองผู้บริโภค,พระราชบัญญัติคุ้มครองผู้บริโภค/พระราชบัญญัติคุ้มครองผู้บริโภค_หมวด4.txt,ค่าปรับจากการเปรียบเทียบความผิดที่องค์กรปกครองส่วนท้องถิ่นดำเนินการตามมาตรา 62 จะตกเป็นรายได้ของใคร?,ค่าปรับดังกล่าวจะตกเป็นรายได้ขององค์กรปกครองส่วนท้องถิ่นนั้น,0
